model,accuracy,balanced_accuracy,macro_f1,macro_auroc,cohen_kappa,ece,mean_faithfulness_iou,pointing_game_accuracy,mean_trust_score
hybrid_cnn_transformer,0.7711442786069652,0.47155973263198125,0.4911441249420343,0.860954902965094,0.514390756302521,0.021189739603308284,0.1960799880407004,0.48756218905472637,0.2972102500759845
resnet50,0.7562189054726368,0.351390271927703,0.3804833544578948,0.8448517959064067,0.4247079439252337,0.10401113724234091,,,
efficientnet_b0,0.736318407960199,0.38790369729727386,0.3977889747448275,0.9077139145759663,0.45149830089589127,0.13023572107452658,,,
vit_base,0.7213930348258707,0.32270150494057004,0.3418428487762181,0.8532705772355363,0.34098360655737703,0.10409497680948741,,,
